
Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum
tion: 0, Vector: (0 6 10 20 41 ), Value: 286.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 1, Vector: (0 6 18 20 41 ), Value: 301.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 1, Vector: (0 6 20 39 41 ), Value: 307.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 1, Vector: (0 1 6 20 41 ), Value: 279.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 2, Vector: (0 1 6 20 41 ), Value: 279.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (0 1 6 10 20 41 ), Value: 356.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (0 6 10 16 20 41 ), Value: 359.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (0 6 10 18 20 41 ), Value: 378.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 10, Vector: (0 1 6 18 20 41 ), Value: 371.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 11, Vector: (0 6 10 20 39 41 ), Value: 384.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 13, Vector: (0 6 18 20 22 41 ), Value: 385.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 13, Vector: (0 6 18 20 36 41 ), Value: 389.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 13, Vector: (0 6 18 20 39 41 ), Value: 399.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 14, Vector: (0 6 20 39 40 41 ), Value: 403.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 0, Vector: (0 1 6 9 20 39 40 41 ), Value: 518.0
