
Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum
eration: 0, Vector: (0 1 20 21 41 ), Value: 333.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 0, Vector: (0 18 20 21 41 ), Value: 355.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 0, Vector: (0 10 20 21 41 ), Value: 340.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 3, Vector: (0 20 21 39 41 ), Value: 361.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 10, Vector: (0 1 18 20 21 41 ), Value: 425.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 10, Vector: (0 10 18 20 21 41 ), Value: 432.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 11, Vector: (0 18 20 21 22 41 ), Value: 439.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 11, Vector: (0 18 20 21 36 41 ), Value: 443.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 11, Vector: (0 18 20 21 39 41 ), Value: 453.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 15, Vector: (0 20 21 39 40 41 ), Value: 457.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 0, Vector: (0 1 11 20 21 39 40 41 ), Value: 590.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 0, Vector: (0 10 11 20 21 39 40 41 ), Value: 597.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 0, Vector: (0 11 18 20 21 39 40 41 ), Value: 612.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (0 1 11 18 20 21 39 40 41 ), Value: 682.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (0 10 11 18 20 21 39 40 41 ), Value: 689.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (0 11 18 20 21 22 39 40 41 ), Value: 696.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (0 11 18 20 21 36 39 40 41 ), Value: 700.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 0, Vector: (0 1 11 18 20 21 27 36 39 40 41 ), Value: 808.0
