
Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum
0, Vector: (6 9 ), Value: 95.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 2, Vector: (0 6 ), Value: 63.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 3, Vector: (0 ), Value: 55.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 5, Vector: (0 4 ), Value: 59.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 7, Vector: (0 2 4 ), Value: 106.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 11, Vector: (1 6 9 ), Value: 105.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 12, Vector: (0 2 3 4 ), Value: 111.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 18, Vector: (1 6 7 9 ), Value: 166.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 25, Vector: (0 2 3 4 9 ), Value: 198.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 29, Vector: (1 5 6 7 9 ), Value: 216.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 6, Vector: (1 6 7 8 9 ), Value: 251.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 8, Vector: (1 6 7 8 9 ), Value: 251.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 8, Vector: (1 6 7 8 9 ), Value: 251.0
Function: Discrete Weight Sum, Thread: 10, Iteration: 17, Vector: (1 5 6 7 9 ), Value: 216.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 25, Vector: (1 2 6 7 9 ), Value: 213.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 27, Vector: (1 2 6 7 9 ), Value: 213.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 30, Vector: (6 7 8 9 ), Value: 241.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 31, Vector: (1 2 6 7 9 ), Value: 213.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 6, Vector: (7 8 9 ), Value: 233.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 8, Vector: (1 6 7 8 9 ), Value: 251.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 8, Vector: (1 6 7 8 9 ), Value: 251.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 10, Vector: (1 6 7 8 9 ), Value: 251.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 17, Vector: (1 6 7 8 9 ), Value: 251.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 22, Vector: (1 6 7 8 9 ), Value: 251.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 27, Vector: (1 7 8 9 ), Value: 243.0
Function: Discrete Weight Sum, Thread: 10, Iteration: 27, Vector: (1 6 7 8 9 ), Value: 251.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 0, Vector: (4 7 8 9 ), Value: 237.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 2, Vector: (0 7 8 9 ), Value: 288.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 5, Vector: (0 7 8 9 ), Value: 288.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 9, Vector: (5 7 8 9 ), Value: 283.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 15, Vector: (2 7 8 9 ), Value: 280.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 20, Vector: (0 7 8 9 ), Value: 288.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 28, Vector: (5 7 8 9 ), Value: 283.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 34, Vector: (5 7 8 9 ), Value: 283.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 9, Vector: (4 5 7 8 9 ), Value: 287.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 11, Vector: (1 5 7 8 9 ), Value: 293.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 15, Vector: (4 5 7 8 9 ), Value: 287.0
Function: Discrete Weight Sum, Thread: 10, Iteration: 19, Vector: (4 5 7 8 9 ), Value: 287.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 34, Vector: (1 5 7 8 9 ), Value: 293.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 9, Vector: (1 5 8 9 ), Value: 232.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 10, Vector: (1 7 8 9 ), Value: 243.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 11, Vector: (1 7 8 9 ), Value: 243.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 12, Vector: (5 7 8 9 ), Value: 283.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 28, Vector: (1 5 7 8 9 ), Value: 293.0
