
Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum
on: 10, Vector: (0 9 10 ), Value: 1878.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 11, Vector: (2 9 10 ), Value: 2262.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 11, Vector: (9 10 15 ), Value: 2390.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 0, Vector: (0 9 10 15 18 ), Value: 3116.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 0, Vector: (2 9 10 15 18 ), Value: 3500.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 13, Vector: (0 2 9 10 15 18 ), Value: 3884.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 13, Vector: (2 3 9 10 15 18 ), Value: 3899.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 13, Vector: (2 5 9 10 15 18 ), Value: 4140.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 0, Vector: (0 1 2 5 9 10 15 18 ), Value: 4581.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 3, Vector: (1 2 3 5 9 10 15 18 ), Value: 4596.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 3, Vector: (1 2 5 6 9 10 15 18 ), Value: 4653.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 3, Vector: (1 2 5 6 9 10 15 18 ), Value: 4710.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 11, Vector: (0 1 2 3 5 9 10 15 18 ), Value: 4980.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 11, Vector: (0 1 2 5 6 9 10 15 18 ), Value: 5037.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 12, Vector: (0 1 2 5 9 10 15 17 18 ), Value: 5094.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 13, Vector: (1 2 3 5 9 10 15 17 18 ), Value: 5109.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 15, Vector: (1 2 5 6 9 10 15 17 18 ), Value: 5166.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 2, Vector: (0 1 2 5 6 9 10 15 17 ), Value: 5208.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 5, Vector: (1 2 3 5 6 9 10 15 17 ), Value: 5223.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 14, Vector: (0 1 2 3 5 6 9 10 15 17 ), Value: 5607.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 17, Vector: (1 2 3 5 6 7 9 10 15 17 ), Value: 5622.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 0, Vector: (0 1 2 3 5 6 7 9 10 15 ), Value: 5493.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 1, Vector: (1 2 3 5 6 7 9 10 13 15 ), Value: 5508.0
Function: Discrete Weight Sum, Thread: 10, Iteration: 3, Vector: (1 2 3 5 6 7 9 10 15 17 ), Value: 5622.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 10, Vector: (0 1 2 3 4 5 6 7 9 10 15 ), Value: 5721.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 10, Vector: (0 1 2 3 5 6 7 9 10 13 15 ), Value: 5892.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 11, Vector: (0 1 2 3 5 6 7 9 10 15 17 ), Value: 6006.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 12, Vector: (1 2 3 5 6 7 9 10 13 15 17 ), Value: 6021.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 1, Vector: (1 2 3 5 6 7 9 10 13 15 17 ), Value: 6021.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 1, Vector: (0 1 2 3 5 6 7 9 13 15 17 ), Value: 5253.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 13, Vector: (0 1 2 3 5 6 7 9 10 13 15 17 ), Value: 6405.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 0, Vector: (0 1 2 3 4 5 6 7 8 9 10 13 15 17 ), Value: 6889.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 0, Vector: (0 1 2 3 5 6 7 8 9 10 13 14 15 17 ), Value: 7045.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 17, Vector: (0 1 2 3 4 5 6 7 8 9 10 13 14 15 17 ), Value: 7273.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 17, Vector: (0 1 2 3 5 6 7 8 9 10 13 14 15 16 17 ), Value: 7330.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 17, Vector: (0 1 2 3 5 6 7 8 9 10 13 14 15 17 18 ), Value: 7387.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 2, Vector: (0 1 2 3 5 6 7 8 9 10 13 14 15 17 18 ), Value: 7387.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 2, Vector: (0 1 2 3 4 5 7 8 9 10 13 14 15 17 18 ), Value: 7159.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 13, Vector: (0 1 2 3 5 6 7 8 9 10 13 14 15 16 17 18 ), Value: 7672.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 13, Vector: (0 1 2 3 4 5 6 7 8 9 10 13 14 15 17 18 ), Value: 7615.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 5, Vector: (0 1 2 3 5 6 7 8 9 10 13 14 15 16 17 18 ), Value: 7672.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 5, Vector: (0 1 2 3 4 5 6 7 8 9 10 13 14 15 17 18 ), Value: 7615.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 14, Vector: (0 1 2 3 4 5 6 7 8 9 10 13 14 15 16 17 18 ), Value: 7900.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 2, Vector: (0 1 2 3 4 5 6 7 8 9 10 13 14 15 16 17 18 ), Value: 7900.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 13, Vector: (0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 ), Value: 7957.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 13, Vector: (0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 ), Value: 8071.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 4, Vector: (0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 ), Value: 8071.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 14, Vector: (0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ), Value: 8128.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 14, Vector: (0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 ), Value: 8242.0
