
Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum
: 20, Iteration: 14, Vector: (118 185 ), Value: 1400.0
Function: Discrete Weight Sum, Thread: 8, Iteration: 19, Vector: (155 185 ), Value: 1387.0
Function: Discrete Weight Sum, Thread: 14, Iteration: 19, Vector: (62 98 185 ), Value: 1744.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 0, Vector: (62 67 80 98 185 ), Value: 3474.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 2, Vector: (62 80 98 104 185 ), Value: 3288.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 2, Vector: (10 62 80 98 185 ), Value: 3405.0
Function: Discrete Weight Sum, Thread: 27, Iteration: 10, Vector: (62 80 98 118 185 ), Value: 3445.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 12, Vector: (56 62 67 80 98 185 ), Value: 4158.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 1, Vector: (56 62 67 80 98 124 184 185 ), Value: 5383.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 3, Vector: (56 62 67 80 98 184 185 187 ), Value: 5476.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 3, Vector: (48 56 62 67 80 98 124 184 185 ), Value: 5850.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 6, Vector: (56 62 67 80 98 122 184 185 ), Value: 4922.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 9, Vector: (56 62 67 80 98 125 184 185 ), Value: 5265.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 13, Vector: (56 62 67 80 98 110 184 185 187 ), Value: 5874.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 1, Vector: (56 62 67 80 98 110 163 171 184 185 187 ), Value: 7265.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 7, Vector: (56 62 67 80 98 110 130 163 171 184 185 187 ), Value: 8323.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 8, Vector: (56 62 67 80 98 104 110 171 184 185 187 ), Value: 7344.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 10, Vector: (14 56 62 67 80 98 110 171 184 185 187 ), Value: 7535.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 11, Vector: (56 62 67 80 98 110 171 184 185 187 188 ), Value: 7523.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 0, Vector: (48 56 62 67 72 80 98 110 130 163 171 184 185 187 ), Value: 9144.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 1, Vector: (56 62 67 72 80 98 110 125 130 163 171 184 185 187 ), Value: 9221.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 2, Vector: (56 62 67 72 80 98 110 130 131 163 171 184 185 187 ), Value: 8912.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 6, Vector: (20 56 62 67 72 80 98 110 125 130 163 171 184 185 187 ), Value: 10015.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 8, Vector: (56 62 67 72 80 90 98 110 130 163 171 184 185 187 ), Value: 9462.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 10, Vector: (29 56 62 67 72 80 98 110 130 163 171 184 185 187 ), Value: 9514.0
Function: Discrete Weight Sum, Thread: 7, Iteration: 16, Vector: (54 56 62 67 72 80 98 110 130 163 171 184 185 187 ), Value: 9595.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 1, Vector: (20 26 52 56 62 67 72 80 98 110 125 130 163 171 184 185 187 ), Value: 10577.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 2, Vector: (20 52 56 62 67 72 80 98 110 125 130 163 171 179 184 185 187 ), Value: 11332.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 4, Vector: (20 52 56 62 67 72 80 98 110 125 130 163 164 171 184 185 187 ), Value: 10824.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 5, Vector: (20 26 52 56 62 67 72 80 95 98 110 125 130 163 171 184 185 187 ), Value: 11420.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 9, Vector: (2 20 52 56 62 67 72 80 98 110 125 130 163 171 179 184 185 187 ), Value: 12294.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 13, Vector: (20 26 52 56 62 67 72 80 95 98 105 110 125 130 163 171 184 185 187 ), Value: 12461.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 17, Vector: (20 52 56 62 67 72 80 86 98 110 125 130 163 171 184 185 187 ), Value: 11019.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 23, Vector: (20 52 56 62 67 72 80 98 110 125 130 137 163 171 184 185 187 ), Value: 11194.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 3, Vector: (20 26 52 56 62 67 72 80 95 98 105 110 125 130 148 163 171 184 185 187 194 ), Value: 13082.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 10, Vector: (20 26 41 52 56 62 67 72 80 95 98 105 110 125 130 148 163 171 184 185 187 ), Value: 13707.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 13, Vector: (20 26 52 56 62 67 72 80 85 95 98 105 110 125 130 148 163 171 184 185 187 ), Value: 13955.0
Function: Discrete Weight Sum, Thread: 22, Iteration: 49, Vector: (20 26 52 56 62 67 72 80 95 98 105 110 125 130 139 148 163 171 184 185 187 ), Value: 13959.0
Function: Discrete Weight Sum, Thread: 46, Iteration: 49, Vector: (14 20 26 52 56 62 67 72 80 95 98 105 110 125 130 148 163 171 184 185 187 ), Value: 13957.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 0, Vector: (14 20 26 52 56 62 67 72 80 95 98 105 110 113 125 130 148 163 171 180 184 185 187 ), Value: 14977.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 3, Vector: (14 20 26 52 56 62 67 72 80 95 98 105 110 113 125 130 148 163 171 184 185 187 188 ), Value: 15676.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 5, Vector: (14 20 26 52 56 62 67 72 80 95 98 105 110 113 125 130 137 148 163 171 180 184 185 187 ), Value: 15932.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 9, Vector: (14 20 26 52 56 62 67 72 80 95 98 105 110 113 125 130 148 163 171 173 184 185 187 188 ), Value: 16100.0
Function: Discrete Weight Sum, Thread: 2, Iteration: 4, Vector: (14 20 26 52 56 62 67 72 80 98 105 110 113 125 130 148 163 171 172 173 184 185 187 188 ), Value: 16207.0
Function: Discrete Weight Sum, Thread: 1, Iteration: 9, Vector: (14 20 26 52 56 62 67 72 80 98 105 110 113 125 126 130 148 163 171 173 184 185 187 188 ), Value: 16290.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 11, Vector: (14 20 26 52 56 62 67 72 80 98 105 110 113 125 129 130 148 163 171 173 184 185 187 188 ), Value: 15786.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 13, Vector: (14 20 26 52 56 62 67 72 80 98 105 110 113 118 125 130 148 163 171 173 184 185 187 188 ), Value: 16321.0
Function: Discrete Weight Sum, Thread: 21, Iteration: 47, Vector: (10 14 20 26 52 56 62 67 72 80 98 105 110 113 125 130 148 163 171 173 184 185 187 188 ), Value: 16281.0
Function: Discrete Weight Sum, Thread: 34, Iteration: 48, Vector: (14 20 26 52 56 62 64 67 72 80 98 105 110 113 125 130 148 163 171 173 184 185 187 188 ), Value: 16307.0
Function: Discrete Weight Sum, Thread: 38, Iteration: 48, Vector: (14 20 26 52 56 62 67 68 72 80 98 105 110 113 125 130 148 163 171 173 184 185 187 188 ), Value: 16315.0
Function: Discrete Weight Sum, Thread: 39, Iteration: 49, Vector: (14 20 26 31 52 56 62 67 72 80 98 105 110 113 125 130 148 163 171 173 184 185 187 188 ), Value: 16355.0
Function: Discrete Weight Sum, Thread: 50, Iteration: 50, Vector: (14 20 26 49 52 56 62 67 72 80 98 105 110 113 125 130 148 163 171 173 184 185 187 188 ), Value: 16312.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 2, Vector: (14 20 26 49 52 56 62 67 72 80 98 105 110 113 120 125 130 133 148 163 171 173 184 185 187 188 ), Value: 16898.0
Function: Discrete Weight Sum, Thread: 17, Iteration: 47, Vector: (14 20 26 49 52 56 62 67 72 80 98 105 110 113 125 130 133 134 148 163 171 173 184 185 187 188 ), Value: 16892.0
Function: Discrete Weight Sum, Thread: 40, Iteration: 49, Vector: (14 20 26 49 52 56 62 67 72 80 83 98 105 110 113 125 130 133 148 163 171 173 184 185 187 188 ), Value: 16923.0
Function: Discrete Weight Sum, Thread: 4, Iteration: 17, Vector: (14 20 26 49 52 56 62 67 80 83 98 105 110 113 125 130 133 148 163 171 173 184 185 187 188 195 ), Value: 16807.0
Function: Discrete Weight Sum, Thread: 15, Iteration: 29, Vector: (14 15 20 26 49 52 56 62 67 80 83 98 105 110 113 125 130 133 148 163 171 173 184 185 187 188 ), Value: 16923.0
Function: Discrete Weight Sum, Thread: 20, Iteration: 43, Vector: (14 20 26 49 52 56 62 67 80 83 98 105 110 113 125 130 133 140 148 163 171 173 184 185 187 188 ), Value: 16925.0
